"Apartamento para alugar em Vila Kosmos, Rio de Janeiro",R$ 1.800/mêsCond. R$ 450 • IPTU R$ 49,Tamanho do imóvel 85 m²,Quantidade de quartos 2,Quantidade de banheiros 1,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-vila-da-penha-zona-norte-rio-de-janeiro-rj-85m2-id-2775171747/?source=ranking%2Crp
"Apartamento para alugar em Botafogo, Rio de Janeiro",R$ 4.300/mêsCond. R$ 918 • IPTU R$ 320Preço abaixo do mercado,Tamanho do imóvel 84 m²,Quantidade de quartos 2,Quantidade de banheiros 1,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-botafogo-zona-sul-rio-de-janeiro-rj-84m2-id-2825086129/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 3.500/mêsCond. R$ 1.960 • IPTU R$ 228Preço abaixo do mercado,Tamanho do imóvel 68 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-68m2-id-2816034215/?source=ranking%2Crp
"Apartamento para alugar em Tijuca, Rio de Janeiro",R$ 3.200/mêsCond. R$ 857 • IPTU R$ 226,Tamanho do imóvel 79 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-tijuca-rio-de-janeiro-79m2-id-2824975061/?source=ranking%2Crp
"Apartamento para alugar em Freguesia (Jacarepaguá), Rio de Janeiro",R$ 3.490/mêsCond. R$ 1.017 • IPTU R$ 283,Tamanho do imóvel 90 m²,Quantidade de quartos 3,Quantidade de banheiros 3,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-freguesia-jacarepagua-rio-de-janeiro-90m2-id-2824882018/?source=ranking%2Crp
"Apartamento para alugar em Campo Grande, Rio de Janeiro",R$ 2.700/mêsCond. R$ 1.059 • IPTU R$ 450,Tamanho do imóvel 65 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-campo-grande-rio-de-janeiro-65m2-id-2824951717/?source=ranking%2Crp
"Apartamento para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 4.000/mêsCond. R$ 1.123 • IPTU R$ 341,Tamanho do imóvel 109 m²,Quantidade de quartos 2,Quantidade de banheiros 3,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-recreio-dos-bandeirantes-rio-de-janeiro-109m2-id-2824843040/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 3.300/mêsCond. R$ 1.011 • IPTU R$ 2.280Preço abaixo do mercado,Tamanho do imóvel 60 m²,Quantidade de quartos 1,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-barra-da-tijuca-rio-de-janeiro-60m2-id-2824960046/?source=ranking%2Crp
"Apartamento para alugar em Copacabana, Rio de Janeiro",R$ 3.700/mêsCond. R$ 1.560 • IPTU R$ 338,Tamanho do imóvel 80 m²,Quantidade de quartos 2,Quantidade de banheiros 2,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-seguranca-interna-copacabana-rio-de-janeiro-80m2-id-2824995623/?source=ranking%2Crp
"Apartamento para alugar em Campo Grande, Rio de Janeiro",R$ 1.950/mêsCond. R$ 690 • IPTU R$ 44,Tamanho do imóvel 65 m²,Quantidade de quartos 2,Quantidade de banheiros 1,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-campo-grande-rio-de-janeiro-65m2-id-2824970219/?source=ranking%2Crp
"Apartamento para alugar em Leblon, Rio de Janeiro",R$ 6.800/mêsCond. R$ 1.455 • IPTU R$ 397,Tamanho do imóvel 80 m²,Quantidade de quartos 2,Quantidade de banheiros 3,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-tv-a-cabo-leblon-rio-de-janeiro-80m2-id-2824889993/?source=ranking%2Crp
"Apartamento para alugar em Copacabana, Rio de Janeiro",R$ 4.800/mêsCond. R$ 1.565 • IPTU R$ 353,Tamanho do imóvel 70 m²,Quantidade de quartos 3,Quantidade de banheiros 2,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-copacabana-rio-de-janeiro-70m2-id-2824854120/?source=ranking%2Crp
"Apartamento para alugar em Barra da Tijuca, Rio de Janeiro",R$ 4.000/mêsCond. R$ 1.300 • IPTU R$ 300,Tamanho do imóvel 65 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-barra-da-tijuca-rio-de-janeiro-65m2-id-2824954529/?source=ranking%2Crp
"Apartamento para alugar em Recreio dos Bandeirantes, Rio de Janeiro",R$ 2.900/mêsCond. R$ 850 • IPTU R$ 160,Tamanho do imóvel 66 m²,Quantidade de quartos 2,Quantidade de banheiros 2,Quantidade de vagas de garagem 1,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-recreio-dos-bandeirantes-rio-de-janeiro-66m2-id-2824947146/?source=ranking%2Crp
"Apartamento para alugar em Praça Seca, Rio de Janeiro",R$ 1.500/mêsCond. R$ 1.064 • IPTU R$ 263,Tamanho do imóvel 145 m²,Quantidade de quartos 3,Quantidade de banheiros 3,Quantidade de vagas de garagem 2,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-praca-seca-rio-de-janeiro-145m2-id-2824949818/?source=ranking%2Crp
"Apartamento para alugar em Tijuca, Rio de Janeiro",R$ 2.300/mêsCond. R$ 846 • IPTU R$ 92,Tamanho do imóvel 48 m²,Quantidade de quartos 1,Quantidade de banheiros 1,NA,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-tijuca-rio-de-janeiro-48m2-id-2824921721/?source=ranking%2Crp
